type,is_call,strike,dte,int_rate,div_yld,underlying_spot,tgt,volume,openinterest
call,True,2380,24,0.019197500000000003,0.017069961450578736,2701.39,322.95,0,24
call,True,2385,24,0.019197500000000003,0.017069961450578736,2701.39,318.1,0,3
call,True,2390,24,0.019197500000000003,0.017069961450578736,2701.39,313.2,0,14
call,True,2395,24,0.019197500000000003,0.017069961450578736,2701.39,308.35,0,10
call,True,2400,24,0.019197500000000003,0.017069961450578736,2701.39,303.5,8,8654
call,True,2405,24,0.019197500000000003,0.017069961450578736,2701.39,298.65,0,10
call,True,2410,24,0.019197500000000003,0.017069961450578736,2701.39,293.75,0,23
call,True,2415,24,0.019197500000000003,0.017069961450578736,2701.39,288.9,0,0
call,True,2420,24,0.019197500000000003,0.017069961450578736,2701.39,284.0,0,950
call,True,2425,24,0.019197500000000003,0.017069961450578736,2701.39,279.20000000000005,0,5300
call,True,2430,24,0.019197500000000003,0.017069961450578736,2701.39,274.35,0,110
call,True,2435,24,0.019197500000000003,0.017069961450578736,2701.39,269.55,0,0
call,True,2440,24,0.019197500000000003,0.017069961450578736,2701.39,264.7,0,40
call,True,2445,24,0.019197500000000003,0.017069961450578736,2701.39,259.9,0,0
call,True,2450,24,0.019197500000000003,0.017069961450578736,2701.39,255.05,11,19173
call,True,2455,24,0.019197500000000003,0.017069961450578736,2701.39,250.25,0,0
call,True,2460,24,0.019197500000000003,0.017069961450578736,2701.39,245.6,0,38
call,True,2465,24,0.019197500000000003,0.017069961450578736,2701.39,240.8,3,1
call,True,2470,24,0.019197500000000003,0.017069961450578736,2701.39,235.9,0,1
call,True,2475,24,0.019197500000000003,0.017069961450578736,2701.39,231.25,6,17453
call,True,2480,24,0.019197500000000003,0.017069961450578736,2701.39,226.5,0,14
call,True,2485,24,0.019197500000000003,0.017069961450578736,2701.39,221.60000000000002,3,240
call,True,2490,24,0.019197500000000003,0.017069961450578736,2701.39,216.85,0,113
call,True,2495,24,0.019197500000000003,0.017069961450578736,2701.39,212.15,0,8
call,True,2500,24,0.019197500000000003,0.017069961450578736,2701.39,207.39999999999998,2,17977
call,True,2505,24,0.019197500000000003,0.017069961450578736,2701.39,202.85,0,3
call,True,2510,24,0.019197500000000003,0.017069961450578736,2701.39,198.2,0,109
call,True,2515,24,0.019197500000000003,0.017069961450578736,2701.39,193.4,0,3
call,True,2520,24,0.019197500000000003,0.017069961450578736,2701.39,188.7,0,24
call,True,2525,24,0.019197500000000003,0.017069961450578736,2701.39,184.2,1,4148
call,True,2530,24,0.019197500000000003,0.017069961450578736,2701.39,179.55,1,41
call,True,2535,24,0.019197500000000003,0.017069961450578736,2701.39,175.05,0,488
call,True,2540,24,0.019197500000000003,0.017069961450578736,2701.39,170.4,3,3254
call,True,2545,24,0.019197500000000003,0.017069961450578736,2701.39,165.85,3,2602
call,True,2550,24,0.019197500000000003,0.017069961450578736,2701.39,161.05,3,20433
call,True,2555,24,0.019197500000000003,0.017069961450578736,2701.39,156.65,0,2104
call,True,2560,24,0.019197500000000003,0.017069961450578736,2701.39,152.0,1,2855
call,True,2565,24,0.019197500000000003,0.017069961450578736,2701.39,147.5,2,1252
call,True,2570,24,0.019197500000000003,0.017069961450578736,2701.39,143.05,4,3138
call,True,2575,24,0.019197500000000003,0.017069961450578736,2701.39,138.6,1812,16486
call,True,2580,24,0.019197500000000003,0.017069961450578736,2701.39,134.14999999999998,0,2787
call,True,2585,24,0.019197500000000003,0.017069961450578736,2701.39,129.85,0,3529
call,True,2590,24,0.019197500000000003,0.017069961450578736,2701.39,125.35,3,9862
call,True,2595,24,0.019197500000000003,0.017069961450578736,2701.39,121.15,450,3485
call,True,2600,24,0.019197500000000003,0.017069961450578736,2701.39,116.94999999999999,816,50291
